Topic,keyword
Topic_1,nature
Topic_1,ig
Topic_1,rhamnoide
Topic_1,diuretic
Topic_1,flavon
Topic_1,nimbolide
Topic_1,oleanic
Topic_1,tocol
Topic_1,ursolic
Topic_1,biloba
Topic_2,bacteria
Topic_2,bacterial
Topic_2,prebiotic
Topic_2,antibacterial
Topic_2,minimum
Topic_2,pathogenic
Topic_2,coli
Topic_2,bear
Topic_2,derivative
Topic_2,spectrum
Topic_3,plant
Topic_3,specie
Topic_3,family
Topic_3,additional
Topic_3,medicinal
Topic_3,edible
Topic_3,traditional
Topic_3,know
Topic_3,leaf
Topic_3,heavy
Topic_4,health
Topic_4,functional
Topic_4,such
Topic_4,source
Topic_4,benefit
Topic_4,cancer
Topic_4,potential
Topic_4,also
Topic_4,property
Topic_4,include
Topic_5,risk
Topic_5,disease
Topic_5,factor
Topic_5,cardiovascular
Topic_5,associate
Topic_5,consumption
Topic_5,increase
Topic_5,prevention
Topic_5,heart
Topic_5,reduce
Topic_6,group
Topic_6,increase
Topic_6,effect
Topic_6,study
Topic_6,level
Topic_6,control
Topic_6,significantly
Topic_6,decrease
Topic_6,day
Topic_6,weight
Topic_7,fiber
Topic_7,quantitative
Topic_7,proximate
Topic_7,scope
Topic_7,moisture
Topic_7,ash
Topic_7,composition
Topic_7,width
Topic_7,amine
Topic_7,rhamnoide
Topic_8,serum
Topic_8,body
Topic_8,population
Topic_8,effect
Topic_8,role
Topic_8,research
Topic_8,evidence
Topic_8,clinical
Topic_8,review
Topic_8,human
Topic_9,acid
Topic_9,oil
Topic_9,storage
Topic_9,essential
Topic_9,phase
Topic_9,promise
Topic_9,constituent
Topic_9,recovery
Topic_9,wine
Topic_9,analytical
Topic_10,stress
Topic_10,oxidative
Topic_10,resistance
Topic_10,biomarker
Topic_10,disorder
Topic_10,define
Topic_10,model
Topic_10,conventional
Topic_10,molecular
Topic_10,lifespan
Topic_11,outcome
Topic_11,simple
Topic_11,exposure
Topic_11,stroke
Topic_11,balance
Topic_11,purchase
Topic_11,trigger
Topic_11,sour
Topic_11,apigenin
Topic_11,amine
Topic_12,analysis
Topic_12,polyphenol
Topic_12,find
Topic_12,different
Topic_12,gene
