,cluster,keyword
0,0,phenolic
1,0,extracts
2,0,antioxidant activity
3,0,highest
4,0,dpph
5,1,hdl
6,1,serum
7,1,oil
8,1,lipid
9,1,subjects
10,2,extracts
11,2,activities
12,2,plants
13,2,phenolic
14,2,medicinal
15,3,risk
16,3,prevalence
17,3,obesity
18,3,ci
19,3,factors
20,4,mg
21,4,fruits
22,4,fruit
23,4,contents
24,4,dw
25,5,carbohydrate
26,5,carbohydrates
27,5,insulin
28,5,weight
29,5,fat
30,6,phytonutrients
31,6,vegetables
32,6,plant
33,6,season
34,6,compounds
35,7,hdl
36,7,hdlc
37,7,fat
38,7,egg
39,7,dairy
40,8,palm
41,8,oil
42,8,drying
43,8,extraction
44,8,palm oil
45,9,rice
46,9,bran
47,9,anthocyanin
48,9,rice bran
49,9,phenolic
50,10,mediterranean
51,10,mortality
52,10,mediterranean diet
53,10,life
54,10,healthy
55,11,aging
56,11,restriction
57,11,mice
58,11,cr
59,11,lifespan
60,12,antioxidants
61,12,capacity
62,12,methods
63,12,antioxidant activity
64,12,products
65,13,fruit
66,13,jackfruit
67,13,mg
68,13,leaves
69,13,moringa
70,14,tac
71,14,antioxidants
72,14,plasma
73,14,capacity
74,14,antioxidant capacity
75,15,antioxidants
76,15,juice
77,15,human
78,15,tac
79,15,free radicals
80,16,mgdl
81,16,hdlc
82,16,risk
83,16,bmi
84,16,hdl
85,17,females
86,17,adult
87,17,males
88,17,sugar
89,17,female
90,18,cancer
91,18,carotenoids
92,18,fruits
93,18,potatoes
94,18,vitamin
95,19,gut
96,19,microbiota
97,19,gut microbiota
98,19,microbiome
99,19,gut microbiome
100,20,older
101,20,life
102,20,years
103,20,adults
104,20,people
105,21,thailand
106,21,policy
107,21,consumers
108,21,consumer
109,21,local
110,22,rumen
111,22,supplementation
112,22,cattle
113,22,fermentation
114,22,rumen fermentation
115,23,carbohydrates
116,23,starch
117,23,rs
118,23,bowel
119,23,carbohydrate
120,24,dr
121,24,lifespan
122,24,drosophila
123,24,restriction
124,24,dietary restriction
125,25,die
126,25,crops
127,25,disaster
128,25,vegetables
129,25,niger
130,26,plasma
131,26,cardiovascular
132,26,lipid
133,26,tac
134,26,serum
135,27,mets
136,27,intakes
137,27,selenium
138,27,phytonutrient
139,27,pmg
140,28,probiotics
141,28,microbiota
142,28,gut
143,28,gut microbiota
144,28,synbiotics
145,29,aging
146,29,lifespan
147,29,stress
148,29,oxidative
149,29,hece
150,30,fish
151,30,fermented
152,30,ffs
153,30,fermented foods
154,30,fed
155,31,la
156,31,phytonutrient
157,31,micronutrient
158,31,crop
159,31,ff
160,32,agriculture
161,32,cam
162,32,organic
163,32,sustainable
164,32,agricultural
165,33,synbiotic
166,33,probiotic
167,33,patients
168,33,control
169,33,lactobacillus
170,34,farmers
171,34,pesticide
172,34,heavy
173,34,blood
174,34,obs
175,35,insects
176,35,kombucha
177,35,nf
178,35,edible insects
179,35,cf
180,36,elephants
181,36,forest
182,36,bcs
183,36,elephant
184,36,tourist
185,37,serum
186,37,ceramides
187,37,rats
188,37,cpt
189,37,mitochondrial
190,38,adipocytes
191,38,rotundus
192,38,gml
193,38,expression
194,38,paktakt
