Topic,keyword
Topic_1,strain
Topic_1,site
Topic_1,predominantly
Topic_1,shopping
Topic_1,great
Topic_1,tabular
Topic_1,respective
Topic_1,anomalous
Topic_1,countless
Topic_1,gem
Topic_2,mine
Topic_2,mining
Topic_2,area
Topic_2,import
Topic_2,industry
Topic_2,miner
Topic_2,production
Topic_2,gem
Topic_2,market
Topic_2,country
Topic_3,gold
Topic_3,ring
Topic_3,silver
Topic_3,metal
Topic_3,piece
Topic_3,diamond
Topic_3,bracelet
Topic_3,set
Topic_3,necklace
Topic_3,pendant
Topic_4,diamond
Topic_4,synthetic
Topic_4,grow
Topic_4,natural
Topic_4,growth
Topic_4,type
Topic_4,lab
Topic_4,defect
Topic_4,temperature
Topic_4,emission
Topic_5,core
Topic_5,calcite
Topic_5,central
Topic_5,speculate
Topic_5,biogenic
Topic_5,cellular
Topic_5,pen
Topic_5,empty
Topic_5,twin
Topic_5,tolerance
Topic_6,high
Topic_6,material
Topic_6,quality
Topic_6,market
Topic_6,well
Topic_6,more
Topic_6,value
Topic_6,use
Topic_6,product
Topic_6,large
Topic_7,chapter
Topic_7,collection
Topic_7,book
Topic_7,th
Topic_7,inlay
Topic_7,history
Topic_7,century
Topic_7,art
Topic_7,age
Topic_7,mineral
Topic_8,dye
Topic_8,nucleation
Topic_8,substance
Topic_8,aging
Topic_8,spray
Topic_8,burn
Topic_8,solution
Topic_8,dyed
Topic_8,mottled
Topic_8,count
Topic_9,jewelry
Topic_9,design
Topic_9,product
Topic_9,gemstone
Topic_9,fashion
Topic_9,industry
Topic_9,designer
Topic_9,create
Topic_9,popular
Topic_9,become
Topic_10,color
Topic_10,opal
Topic_10,gem
Topic_10,blue
Topic_10,green
Topic_10,stone
Topic_10,tourmaline
Topic_10,sapphire
Topic_10,figure
Topic_10,red
Topic_11,diamond
Topic_11,price
Topic_11,year
Topic_11,total
Topic_11,sale
Topic_11,auction
Topic_11,sell
Topic_11,carat
Topic_11,rough
Topic_11,large
Topic_12,inclusion
Topic_12,crystal
Topic_12,quartz
Topic_12,figure
Topic_12,emerald
Topic_12,view
Topic_12,mm
Topic_12,field
Topic_12,photomicrograph
Topic_12,growth
Topic_13,mineral
Topic_13,fluid
Topic_13,element
Topic_13,inclusion
Topic_13,deposit
Topic_13,rock
Topic_13,crystal
Topic_13,iron
Topic_13,composition
Topic_13,chemical
Topic_14,light
Topic_14,surface
Topic_14,material
Topic_14,pattern
Topic_14,amber
Topic_14,white
Topic_14,black
Topic_14,bubble
Topic_14,use
Topic_14,glass
Topic_15,figure
Topic_15,color
Topic_15,show
Topic_15,sample
Topic_15,band
Topic_15,uv
Topic_15,cm
Topic_15,peak
Topic_15,blue
Topic_15,nm
Topic_16,consumer
Topic_16,jewelry
Topic_16,increase
Topic_16,market
Topic_16,sale
Topic_16,brand
Topic_16,year
Topic_16,trend
Topic_16,online
Topic_16,demand
Topic_17,pearl
Topic_17,shell
Topic_17,cultured
Topic_17,bead
Topic_17,nacre
Topic_17,oyster
Topic_17,tissue
Topic_17,freshwater
Topic_17,use
Topic_17,natural
Topic_18,tube
Topic_18,oil
Topic_18,channel
Topic_18,chatoyancy
Topic_18,etch
Topic_18,mineral
Topic_18,hardness
Topic_18,virtually
Topic_18,iridescence
Topic_18,cleavage
Topic_19,sapphire
Topic_19,ruby
Topic_19,corundum
Topic_19,gem
Topic_19,study
Topic_19,article
Topic_19,gemological
Topic_19,field
Topic_19,origin
Topic_19,spinel
Topic_20,heat
Topic_20,treatment
Topic_20,treat
Topic_20,temperature
Topic_20,water
Topic_20,fracture
Topic_20,acid
Topic_20,change
Topic_20,pressure
Topic_20,clean
Topic_21,find
Topic_21,make
Topic_21,gem
Topic_21,time
Topic_21,first
Topic_21,also
Topic_21,work
Topic_21,many
Topic_21,see
Topic_21,most
Topic_22,feasible
Topic_22,headdress
Topic_22,twice
Topic_22,pronounce
Topic_22,absent
Topic_22,pezzottite
Topic_22,thatforme
Topic_22,sheep
Topic_22,pressurized
Topic_22,pony
Topic_23,say
Topic_23,industry
Topic_23,learn
Topic_23,event
Topic_23,research
Topic_23,work
Topic_23,student
Topic_23,more
Topic_23,program
Topic_23,year
Topic_24,cut
Topic_24,use
Topic_24,stone
Topic_24,technology
Topic_24,facet
Topic_24,grade
Topic_24,filler
Topic_24,system
Topic_24,method
Topic_24,testing
Topic_25,sector
Topic_25,environmental
Topic_25,framework
Topic_25,sustainability
Topic_25,sustainable
Topic_25,responsible
Topic_25,issue
Topic_25,chain
Topic_25,practice
Topic_25,address
