,cluster,keyword,ex keyword,note
0,0,garnets,garnets,https://chatgpt.com/share/93494caf-880e-456d-958f-c71e21d499a9
1,0,grossular,grossular,
2,0,pyrope,pyrope,
3,0,andradite,andradite,
4,0,spessartine,spessartine,
5,1,book,book,
6,1,rings,rings,
7,1,century,century,
8,1,silver,silver,
9,1,jewels,jewels,
10,2,demantoid,demantoid,
11,2,benitoite,benitoite,
12,2,scapolite,scapolite,
13,2,rhodonite,rhodonite,
14,2,raman spectroscopy,raman spectroscopy,
15,3,hpht (high pressure high temperature),hpht,
16,3,synthetic diamonds,synthetic diamonds,
17,3,synthetic diamond,synthetic diamond,
18,3,cvd (chemical vapor deposition),cvd synthetic,
19,3,melee,melee,
20,4,nacre,nacre,
21,4,shell,shell,
22,4,cultured pearls,cultured pearls,
23,4,bead,bead,
24,4,freshwater,freshwater,
25,5,alexandrite,alexandrite,
26,5,rock crystal,rock crystal,
27,5,crystal quartz,crystal quartz,
28,5,rock crystal quartz,rock crystal quartz,
29,5,fluorite,fluorite,
30,6,nitrogen,nitrogen,
31,6,phosphorescence,phosphorescence,
32,6,boron,boron,
33,6,cloud,cloud,
34,6,defects,defects,
35,7,peridot,peridot,
36,7,greenland,greenland,
37,7,trapiche,trapiche,
38,7,university,university,
39,7,trace,trace,
40,8,micro,micro world,
41,8,section,micro,
42,8,photomicrography,section,
43,8,yogo,photomicrography,
44,8,sunstone,yogo,
45,9,tsavorite,sunstone,
46,9,montana,tsavorite,
47,9,oregon,montana,
48,9,potentate,oregon,
49,9,pegmatite,potentate,
50,10,chalcedony,trapiche,
51,10,rhodochrosite,peridot,
52,10,larimar,pegmatites,
53,10,azurite,demantoid,
54,10,malachite,pegmatite,
55,11,beers,chalcedony,
56,11,alrosa,rhodochrosite,
57,11,goods,larimar,
58,11,billion,azurite,
59,11,dealers,malachite,
60,12,flux,beers,
61,12,synthetic sapphire,alrosa,
62,12,flame fusion,goods,
63,12,fusion,billion,
64,12,synthetic ruby,dealers,
65,13,zircon,flux,
66,13,heat treatment,synthetic sapphire,
67,13,beryllium,flame fusion,
68,13,diffusion,fusion,
69,13,blue sapphires,synthetic ruby,
