Topic,keyword
Topic_1,cell
Topic_1,cancer
Topic_1,apoptosis
Topic_1,line
Topic_1,induce
Topic_1,cytotoxic
Topic_1,inhibit
Topic_1,generate
Topic_1,response
Topic_1,proliferation
Topic_2,plant
Topic_2,medicinal
Topic_2,use
Topic_2,growth
Topic_2,traditional
Topic_2,family
Topic_2,area
Topic_2,herbal
Topic_2,resistance
Topic_2,belong
Topic_3,derivative
Topic_3,biosynthesis
Topic_3,convert
Topic_3,predict
Topic_3,ester
Topic_3,biosynthetic
Topic_3,global
Topic_3,summary
Topic_3,discovery
Topic_3,cross
Topic_4,specie
Topic_4,analysis
Topic_4,gene
Topic_4,develop
Topic_4,use
Topic_4,different
Topic_4,base
Topic_4,characteristic
Topic_4,produce
Topic_4,important
Topic_5,cytokine
Topic_5,induce
Topic_5,stress
Topic_5,pro
Topic_5,sesquiterpenoid
Topic_5,endophytic
Topic_5,directly
Topic_5,dysfunction
Topic_5,tissue
Topic_5,enzyme
Topic_6,elucidate
Topic_6,radiation
Topic_6,ethnobotany
Topic_6,usage
Topic_6,deal
Topic_6,solely
Topic_6,domestication
Topic_6,substantiate
Topic_6,cgmp
Topic_6,permeable
Topic_7,injury
Topic_7,background
Topic_7,parameter
Topic_7,biochemical
Topic_7,hematological
Topic_7,ccl
Topic_7,follow
Topic_7,fissitungfine
Topic_7,litsericinone
Topic_7,methotrexate
Topic_8,anti
Topic_8,disease
Topic_8,review
Topic_8,such
Topic_8,health
Topic_8,medicine
Topic_8,inflammatory
Topic_8,many
Topic_8,product
Topic_8,various
Topic_9,combination
Topic_9,structure
Topic_9,new
Topic_9,datum
Topic_9,allow
Topic_9,cover
Topic_9,identification
Topic_9,together
Topic_9,contact
Topic_9,discover
Topic_10,root
Topic_10,mass
Topic_10,chromatography
Topic_10,spectrometry
Topic_10,gas
Topic_10,friendly
Topic_10,repellent
Topic_10,mosquito
Topic_10,plate
Topic_10,pest
Topic_11,activity
Topic_11,compound
Topic_11,show
Topic_11,value
Topic_11,isolate
Topic_11,exhibit
Topic_11,assay
Topic_11,respectively
Topic_11,fraction
Topic_11,follow
Topic_12,extraction
Topic_12,method
Topic_12,solvent
Topic_12,detection
Topic_12,use
Topic_12,water
Topic_12,ethanol
Topic_12,solution
Topic_12,quantitative
Topic_12,time
Topic_13,galanga
Topic_13,marker
Topic_13,male
Topic_13,subject
Topic_13,lung
Topic_13,sperm
Topic_13,accumulate
Topic_13,dosage
Topic_13,monoterpene
Topic_13,motility
Topic_14,use
Topic_14,study
Topic_14,effect
Topic_14,also
Topic_14,treatment
Topic_14,result
Topic_14,system
Topic_14,well
Topic_14,drug
Topic_14,potential
Topic_15,heart
Topic_15,culture
Topic_15,maintain
Topic_15,mean
Topic_15,acute
Topic_15,shoot
Topic_15,supplement
Topic_15,stem
Topic_15,mellitus
Topic_15,differentiation
Topic_16,day
Topic_16,age
Topic_16,period
Topic_16,patient
Topic_16,seed
Topic_16,reduction
Topic_16,chain
Topic_16,hour
Topic_16,test
Topic_16,remain
Topic_17,extract
Topic_17,concentration
Topic_17,effect
Topic_17,crude
Topic_17,inhibit
Topic_17,test
Topic_17,mouse
Topic_17,determine
Topic_17,dose
Topic_17,show
Topic_18,water
Topic_18,ginger
Topic_18,ethanol
Topic_18,hexane
Topic_18,tool
Topic_18,min
Topic_18,longa
Topic_18,then
Topic_18,curcumin
Topic_18,array
Topic_19,skin
Topic_19,contribute
Topic_19,add
Topic_19,application
Topic_19,light
Topic_19,efficiency
Topic_19,name
Topic_19,particularly
Topic_19,apply
Topic_19,wound
Topic_20,release
Topic_20,gel
Topic_20,inflammatory
Topic_20,production
Topic_20,factor
Topic_20,oxide
Topic_20,anti
Topic_20,topical
Topic_20,secretion
Topic_20,suitable
Topic_21,expression
Topic_21,protein
Topic_21,pathway
Topic_21,enzyme
Topic_21,mechanism
Topic_21,molecular
Topic_21,propose
Topic_21,metabolism
Topic_21,target
Topic_21,level
Topic_22,rhizome
Topic_22,yield
Topic_22,component
Topic_22,leave
Topic_22,response
Topic_22,leaf
Topic_22,ratio
Topic_22,design
Topic_22,variable
Topic_22,optimize
Topic_23,fruit
Topic_23,stage
Topic_23,acne
Topic_23,ingest
Topic_23,development
Topic_23,criterion
Topic_23,systematically
Topic_23,consumer
Topic_23,field
Topic_23,article
Topic_24,oral
Topic_24,toxicity
Topic_24,administration
Topic_24,death
Topic_24,overcome
Topic_24,herbal
Topic_24,combine
Topic_24,like
Topic_24,mortality
Topic_24,joint
Topic_25,methanol
Topic_25,fungus
Topic_25,fungal
Topic_25,comparison
Topic_25,antifungal
Topic_25,spectroscopic
Topic_25,chloroform
Topic_25,classify
Topic_25,spectral
Topic_25,isolation
Topic_26,oil
Topic_26,essential
Topic_26,scale
Topic_26,composition
Topic_26,intrinsic
Topic_26,conventional
Topic_26,chemical
Topic_26,sustainable
Topic_26,industrial
Topic_26,application
Topic_27,high
Topic_27,content
Topic_27,total
Topic_27,sample
Topic_27,volatile
Topic_27,good
Topic_27,phase
Topic_27,dry
Topic_27,method
Topic_27,result
Topic_28,tungfangense
Topic_28,unusual
Topic_28,icer
Topic_28,reactor
Topic_28,subsite
Topic_28,grandi
Topic_28,litsericinone
Topic_28,valerianoide
Topic_28,fissitungfine
Topic_28,methotrexate
Topic_29,inhibitor
Topic_29,tolerance
Topic_29,reverse
Topic_29,virus
Topic_29,complete
Topic_29,antiviral
Topic_29,influenza
Topic_29,viral
Topic_29,neuraminidase
Topic_29,pandemic
Topic_30,antibacterial
Topic_30,bacteria
Topic_30,strain
Topic_30,sensitivity
Topic_30,antimicrobial
Topic_30,positive
Topic_30,coli
Topic_30,negative
Topic_30,antibiotic
Topic_30,epidermidi
Topic_31,employ
Topic_31,efficient
Topic_31,rapid
Topic_31,mm
Topic_31,local
Topic_31,principle
Topic_31,zone
Topic_31,simple
Topic_31,sensitive
Topic_31,sugar
Topic_32,group
Topic_32,glucose
Topic_32,level
Topic_32,rat
Topic_32,increase
Topic_32,control
Topic_32,diet
Topic_32,treatment
Topic_32,significantly
Topic_32,effect
Topic_33,occur
Topic_33,old
Topic_33,nanoparticle
Topic_33,performance
Topic_33,consist
Topic_33,separate
Topic_33,relative
Topic_33,score
Topic_33,peak
Topic_33,powder
Topic_34,acid
Topic_34,antioxidant
Topic_34,protection
Topic_34,flavonoid
Topic_34,radical
Topic_34,free
Topic_34,reduce
Topic_34,dpph
Topic_34,vital
Topic_34,power
Topic_35,quercetin
Topic_35,cyclodextrin
Topic_35,neutral
Topic_35,phospholipid
Topic_35,valerianoide
Topic_35,tungfangense
Topic_35,methotrexate
Topic_35,erotic
Topic_35,litsericinone
Topic_35,fissitungfine
Topic_36,metabolite
Topic_36,secondary
Topic_36,population
Topic_36,matter
Topic_36,dye
Topic_36,production
Topic_36,digestive
Topic_36,later
Topic_36,run
Topic_36,bacterial
Topic_37,accumulation
Topic_37,spectroscopy
Topic_37,fiber
Topic_37,store
Topic_37,frequency
Topic_37,concept
Topic_37,man
Topic_37,vessel
Topic_37,artery
Topic_37,own
Topic_38,tungfangense
Topic_38,unusual
Topic_38,icer
Topic_38,reactor
Topic_38,subsite
Topic_38,grandi
Topic_38,litsericinone
Topic_38,valerianoide
Topic_38,fissitungfine
Topic_38,methotrexate
