,cluster,ex keyword,keyword,note
0,0,allium,allicin,https://chatgpt.com/share/b2064b1a-1553-4fca-b122-f80e0cce0117
1,0,sativum,garlic extract,
2,0,allium sativum,cholesterol,
3,0,antioxidant,garlic allium,
4,0,effects,garlic allium sativum,
5,1,curcumin,oxidative,
6,1,curcuma,liver,
7,1,curcuma longa,cll,
8,1,antioxidant,ccl4,
9,1,curcuminoids,turmeric extracts,
10,2,turmeric,spice,
11,2,curcumin,curcumin,
12,2,curcuma,spices,
13,2,curcuma longa,yellow,
14,2,spice,indian,
15,3,curcuminoids,curcuminoids,
16,3,curcumin,drying,
17,3,drying,curcuminoids,
18,3,curcuma,curcuminoids,
19,3,curcuma longa,coa,
20,4,cassumunar,dimethoxyphenyl,
21,4,zingiber,ol,
22,4,zingiber cassumunar,montanum,
23,4,dimethoxyphenyl,en,
24,4,compound,dimethoxyphenyl en,
25,5,mangosteen,pericarp,
26,5,fruit,peel,
27,5,pericarp,rind,
28,5,mangostin,xanthone,
29,5,mangostana,mangosteen peel,
30,6,galanga,ethyl p-methoxy cinnamate (epmc),
31,6,kaempferia galanga,glucosidase,
32,6,epmc,methoxycinnamate,
33,6,kaempferia,kgr,
34,6,rhizome,ethyl p-methoxy cinnamate (epmc),
35,7,antibacterial,minimum,
36,7,essential oil,mic,
37,7,oils,antibacterial activity,
38,7,galanga,aeruginosa,
39,7,essential oils,coli,
40,8,parviflora,kaempferia parviflora,
41,8,kp,trimethoxyflavone,
42,8,kaempferia parviflora,dmf,
43,8,kaempferia,hydroxy,
44,8,cell,methoxyflavones,
45,9,kp,kpe,
46,9,kpe,kp extract,
47,9,parviflora,kaempferia parviflora,
48,9,rats,male,
49,9,kp extract,kp extract,
50,10,xanthones,xanthones,
51,10,xanthone,xanthone,
52,10,mangostana,garcinone d,
53,10,garcinia,prenylated,
54,10,garcinia mangostana,pericarps,
55,11,lancea,soil,
56,11,soil,endophytic,
57,11,endophytic,peanut,
58,11,peanut,rhizosphere,
59,11,al,al12,
60,12,galanga,cinnamate,
61,12,essential oil,trans,
62,12,kaempferia galanga,rhizome oil,
63,12,kaempferia,methoxycinnamate,
64,12,rhizome,pentadecane,
65,13,alkaloids,aporphine,
66,13,aporphine,stephania,
67,13,stephania,venosa,
68,13,venosa,aporphine alkaloids,
69,13,isolated,alkaloids,
70,14,mangostin,alpha,
71,14,mangosteen,gme,
72,14,mangostana,apoptosis,
73,14,cells,obesity,
74,14,garcinia mangostana,tumor,
75,15,species,genus,
76,15,genus,menispermaceae,
77,15,menispermaceae,phylogenetic,
78,15,phylogenetic,stephania,
79,15,morphological,chloroplast,
80,16,genetic,genetic,
81,16,bulb,bulb,
82,16,allium,genotypes,
83,16,yield,accessions,
84,16,genotypes,diversity,
85,17,antioxidant,flavonoid,
86,17,parviflora,frap,
87,17,extraction,radical scavenging,
88,17,kaempferia,flavonoids,
89,17,antioxidant activity,ethanolic extract,
90,18,lancea,chinensis,
91,18,atractylodes,japonica,
92,18,chinensis,macrocephala,
93,18,japonica,atractylon,
94,18,atractylodin,hinesol,
95,19,stemona,stemona,
96,19,alkaloids,collinsiae,
97,19,collinsiae,didehydrostemofoline,
98,19,didehydrostemofoline,stemofoline,
99,19,stemofoline,insecticidal,
100,20,ache,ache,
101,20,ad,ad,
102,20,inhibitors,alzheimer,
103,20,disease,alzheimer disease,
104,20,alzheimer,cholinergic,
105,21,cca,cca,
106,21,al,crebanine,
107,21,cancer,atd,
108,21,cell,apoptosis,
109,21,cells,cholangiocarcinoma,
110,22,allium,garlic extract,
111,22,sativum,onion,
112,22,antimicrobial,allicin,
113,22,allium sativum,antimicrobial activity,
114,22,garlic extract,garlic allium,
115,23,medium,medium,
116,23,callus,callus,
117,23,ms,shoot,
118,23,mgl,shoots,
119,23,shoot,supplemented,
120,24,film,film,
121,24,patches,patches,
122,24,skin,skin,
123,24,permeation,permeation,
124,24,mats,mats,
125,25,cancer,venosa,
126,25,cell,breast,
127,25,cells,crebanine,
